Champion,Opponent,Wins,Total Matches,Win Rate (%)
Jhin,Garen,5,13,38.46153846153847
Chogath,Garen,5,13,38.46153846153847
Briar,Jinx,5,13,38.46153846153847
Teemo,Amumu,5,13,38.46153846153847
Caitlyn,Veigar,5,13,38.46153846153847
Warwick,Jhin,5,13,38.46153846153847
Morgana,Mel,5,13,38.46153846153847
Ashe,Veigar,5,13,38.46153846153847
Kaisa,Ezreal,5,13,38.46153846153847
Kayn,Warwick,5,13,38.46153846153847
Jinx,Yasuo,5,13,38.46153846153847
Caitlyn,Galio,5,13,38.46153846153847
Seraphine,Ashe,5,13,38.46153846153847
Pantheon,Jinx,4,13,30.76923076923077
Yone,Sylas,4,13,30.76923076923077
Teemo,Malphite,4,13,30.76923076923077
MissFortune,Shen,4,13,30.76923076923077
Mordekaiser,Darius,4,13,30.76923076923077
Darius,Ahri,4,13,30.76923076923077
Tristana,Mel,4,13,30.76923076923077
Vayne,Teemo,4,13,30.76923076923077
Briar,Caitlyn,4,13,30.76923076923077
Caitlyn,Brand,4,13,30.76923076923077
Caitlyn,Shaco,3,13,23.076923076923077
Yone,Mel,3,13,23.076923076923077
Seraphine,Darius,2,13,15.384615384615385
Lulu,Caitlyn,11,12,91.66666666666666
Morgana,Ahri,9,12,75.0
Amumu,Chogath,9,12,75.0
Volibear,Garen,9,12,75.0
Vayne,MasterYi,9,12,75.0
Darius,Ziggs,9,12,75.0
Darius,Swain,9,12,75.0
Lux,Senna,8,12,66.66666666666666
Nautilus,Teemo,8,12,66.66666666666666
Ezreal,Viego,8,12,66.66666666666666
Malphite,Jhin,8,12,66.66666666666666
Warwick,Tristana,8,12,66.66666666666666
Yasuo,Ashe,8,12,66.66666666666666
Caitlyn,Leona,8,12,66.66666666666666
Malzahar,Amumu,8,12,66.66666666666666
Tryndamere,Jinx,8,12,66.66666666666666
Yorick,Caitlyn,8,12,66.66666666666666
Viego,Ashe,8,12,66.66666666666666
Morgana,Ashe,7,12,58.333333333333336
Jinx,Kaisa,7,12,58.333333333333336
Viego,Jinx,7,12,58.333333333333336
Pantheon,Caitlyn,7,12,58.333333333333336
Garen,Swain,7,12,58.333333333333336
MissFortune,Soraka,7,12,58.333333333333336
Kayle,Teemo,7,12,58.333333333333336
Caitlyn,Senna,7,12,58.333333333333336
Tristana,Veigar,7,12,58.333333333333336
Vayne,Jinx,7,12,58.333333333333336
Warwick,Amumu,7,12,58.333333333333336
Caitlyn,Yuumi,7,12,58.333333333333336
Nocturne,Diana,7,12,58.333333333333336
MissFortune,Viktor,7,12,58.333333333333336
Ashe,Akali,7,12,58.333333333333336
Mordekaiser,MissFortune,7,12,58.333333333333336
Morgana,Chogath,7,12,58.333333333333336
Morgana,Teemo,7,12,58.333333333333336
MissFortune,Chogath,7,12,58.333333333333336
Jhin,Mordekaiser,7,12,58.333333333333336
Zed,MissFortune,7,12,58.333333333333336
Tristana,Pantheon,7,12,58.333333333333336
Pantheon,MasterYi,7,12,58.333333333333336
Morgana,Diana,6,12,50.0
Vayne,Xerath,6,12,50.0
Diana,Morgana,6,12,50.0
Swain,Malzahar,6,12,50.0
Swain,Jhin,6,12,50.0
Ashe,Chogath,6,12,50.0
Ezreal,Briar,6,12,50.0
MissFortune,Nasus,6,12,50.0
Akali,Darius,6,12,50.0
Nunu,Darius,6,12,50.0
Malzahar,Swain,6,12,50.0
Veigar,Yasuo,6,12,50.0
Chogath,Ashe,6,12,50.0
Darius,Galio,6,12,50.0
Darius,Nunu,6,12,50.0
Darius,Akali,6,12,50.0
MissFortune,Briar,6,12,50.0
Xerath,Vayne,6,12,50.0
Xerath,Caitlyn,6,12,50.0
Caitlyn,Xerath,6,12,50.0
Briar,Ezreal,6,12,50.0
Galio,Darius,6,12,50.0
Yasuo,Veigar,6,12,50.0
Briar,MissFortune,6,12,50.0
Jhin,Swain,6,12,50.0
Nasus,MissFortune,6,12,50.0
Amumu,Warwick,5,12,41.66666666666667
MissFortune,Mordekaiser,5,12,41.66666666666667
Kaisa,Jinx,5,12,41.66666666666667
Chogath,MissFortune,5,12,41.66666666666667
MissFortune,Zed,5,12,41.66666666666667
Diana,Nocturne,5,12,41.66666666666667
Jinx,Vayne,5,12,41.66666666666667
Jinx,Viego,5,12,41.66666666666667
Ashe,Morgana,5,12,41.66666666666667
Akali,Ashe,5,12,41.66666666666667
Swain,Garen,5,12,41.66666666666667
Teemo,Kayle,5,12,41.66666666666667
Chogath,Morgana,5,12,41.66666666666667
Caitlyn,Pantheon,5,12,41.66666666666667
Yuumi,Caitlyn,5,12,41.66666666666667
Senna,Caitlyn,5,12,41.66666666666667
Viktor,MissFortune,5,12,41.66666666666667
Soraka,MissFortune,5,12,41.66666666666667
MasterYi,Pantheon,5,12,41.66666666666667
Pantheon,Tristana,5,12,41.66666666666667
Mordekaiser,Jhin,5,12,41.66666666666667
Veigar,Tristana,5,12,41.66666666666667
Teemo,Morgana,5,12,41.66666666666667
Caitlyn,Yorick,4,12,33.33333333333333
Ashe,Yasuo,4,12,33.33333333333333
Tristana,Warwick,4,12,33.33333333333333
Senna,Lux,4,12,33.33333333333333
Viego,Ezreal,4,12,33.33333333333333
Jinx,Tryndamere,4,12,33.33333333333333
Jhin,Malphite,4,12,33.33333333333333
Amumu,Malzahar,4,12,33.33333333333333
Ashe,Viego,4,12,33.33333333333333
Teemo,Nautilus,4,12,33.33333333333333
Leona,Caitlyn,4,12,33.33333333333333
Ahri,Morgana,3,12,25.0
Ziggs,Darius,3,12,25.0
MasterYi,Vayne,3,12,25.0
Chogath,Amumu,3,12,25.0
Garen,Volibear,3,12,25.0
Swain,Darius,3,12,25.0
Caitlyn,Lulu,1,12,8.333333333333332
Viego,Mordekaiser,9,11,81.81818181818183
Yorick,Mel,9,11,81.81818181818183
MissFortune,Diana,9,11,81.81818181818183
Pantheon,Teemo,9,11,81.81818181818183
Sion,Mel,9,11,81.81818181818183
Lux,Aphelios,8,11,72.72727272727273
Garen,Amumu,8,11,72.72727272727273
Ashe,Malzahar,8,11,72.72727272727273
Teemo,Volibear,8,11,72.72727272727273
Tristana,Garen,8,11,72.72727272727273
Urgot,Darius,8,11,72.72727272727273
Yasuo,Briar,8,11,72.72727272727273
Jinx,Ekko,8,11,72.72727272727273
Vayne,Chogath,8,11,72.72727272727273
Sett,Jinx,8,11,72.72727272727273
Warwick,MissFortune,8,11,72.72727272727273
Vayne,Ashe,7,11,63.63636363636363
Pantheon,Yorick,7,11,63.63636363636363
Jinx,Jax,7,11,63.63636363636363
MasterYi,Mel,7,11,63.63636363636363
Ashe,Thresh,7,11,63.63636363636363
Nautilus,Mel,7,11,63.63636363636363
Nocturne,Garen,7,11,63.63636363636363
Sylas,Mel,7,11,63.63636363636363
Pantheon,Ashe,7,11,63.63636363636363
Lux,Kayle,7,11,63.63636363636363
Mel,Teemo,7,11,63.63636363636363
Teemo,Shaco,7,11,63.63636363636363
MasterYi,Ashe,7,11,63.63636363636363
DrMundo,Garen,7,11,63.63636363636363
Lux,Leona,7,11,63.63636363636363
Pyke,Teemo,6,11,54.54545454545454
Mel,Kayn,6,11,54.54545454545454
Xerath,Jinx,6,11,54.54545454545454
Sett,Jhin,6,11,54.54545454545454
Garen,Mel,6,11,54.54545454545454
Ashe,Kayn,6,11,54.54545454545454
Garen,Morgana,6,11,54.54545454545454
Nocturne,Morgana,6,11,54.54545454545454
Ahri,Chogath,6,11,54.54545454545454
Yone,Teemo,6,11,54.54545454545454
Malzahar,Pantheon,6,11,54.54545454545454
Nautilus,Jinx,6,11,54.54545454545454
Malzahar,Yorick,6,11,54.54545454545454
Kaisa,Yasuo,6,11,54.54545454545454
Jhin,Mel,6,11,54.54545454545454
Pyke,Caitlyn,6,11,54.54545454545454
Garen,Zed,6,11,54.54545454545454
Zed,Jinx,6,11,54.54545454545454
MissFortune,Volibear,6,11,54.54545454545454
Ezreal,Yasuo,6,11,54.54545454545454
Vayne,Darius,6,11,54.54545454545454
Tristana,Morgana,6,11,54.54545454545454
Ashe,Jax,6,11,54.54545454545454
Galio,Garen,6,11,54.54545454545454
Lux,Jax,6,11,54.54545454545454
Warwick,Garen,6,11,54.54545454545454
Ashe,Shen,6,11,54.54545454545454
Nautilus,Ashe,6,11,54.54545454545454
Caitlyn,Ambessa,6,11,54.54545454545454
Jax,Caitlyn,6,11,54.54545454545454
Ekko,Seraphine,6,11,54.54545454545454
Twitch,Caitlyn,6,11,54.54545454545454
Lux,FiddleSticks,6,11,54.54545454545454
MissFortune,Lucian,6,11,54.54545454545454
Tristana,Ashe,6,11,54.54545454545454
Yasuo,Diana,6,11,54.54545454545454
Yasuo,Kayn,6,11,54.54545454545454
Sett,Garen,6,11,54.54545454545454
Caitlyn,DrMundo,6,11,54.54545454545454
Kayle,MissFortune,6,11,54.54545454545454
Lux,Shen,6,11,54.54545454545454
Ashe,Mel,6,11,54.54545454545454
Yasuo,Mel,6,11,54.54545454545454
Veigar,Darius,6,11,54.54545454545454
Nocturne,Warwick,6,11,54.54545454545454
Lux,DrMundo,6,11,54.54545454545454
Caitlyn,Pyke,5,11,45.45454545454545
Warwick,Nocturne,5,11,45.45454545454545
Pantheon,Malzahar,5,11,45.45454545454545
Shen,Lux,5,11,45.45454545454545
Garen,Sett,5,11,45.45454545454545
Morgana,Tristana,5,11,45.45454545454545
Shen,Ashe,5,11,45.45454545454545
Jhin,Sett,5,11,45.45454545454545
Kayn,Mel,5,11,45.45454545454545
Jinx,Nautilus,5,11,45.45454545454545
Morgana,Garen,5,11,45.45454545454545
Yorick,Malzahar,5,11,45.45454545454545
Morgana,Nocturne,5,11,45.45454545454545
Jinx,Zed,5,11,45.45454545454545
