antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Amumu'}),frozenset({'Nasus'}),0.05507246376811594,0.030434782608695653,0.005797101449275362,0.10526315789473685,3.4586466165413534,1.0,0.004120982986767486,1.083631713554987,0.7523006134969324,0.07272727272727274,0.0771772480528676,0.14786967418546365
frozenset({'Aphelios'}),frozenset({'MasterYi'}),0.028985507246376812,0.057971014492753624,0.005797101449275362,0.2,3.45,1.0,0.004116782188615837,1.1775362318840579,0.7313432835820896,0.07142857142857144,0.15076923076923077,0.15000000000000002
frozenset({'MasterYi'}),frozenset({'Aphelios'}),0.057971014492753624,0.028985507246376812,0.005797101449275362,0.1,3.45,1.0,0.004116782188615837,1.0789049919484701,0.7538461538461538,0.07142857142857144,0.07313432835820896,0.15000000000000002
frozenset({'Brand'}),frozenset({'Viego'}),0.03333333333333333,0.050724637681159424,0.005797101449275362,0.17391304347826086,3.4285714285714284,1.0,0.004106280193236715,1.1491228070175439,0.7327586206896551,0.07407407407407408,0.1297709923664122,0.14409937888198757
frozenset({'Viego'}),frozenset({'Brand'}),0.050724637681159424,0.03333333333333333,0.005797101449275362,0.11428571428571428,3.4285714285714284,1.0,0.004106280193236715,1.0913978494623657,0.7461832061068703,0.07407407407407408,0.08374384236453201,0.14409937888198757
frozenset({'Heimerdinger'}),frozenset({'Darius'}),0.020289855072463767,0.10579710144927536,0.007246376811594203,0.35714285714285715,3.3757338551859104,1.0,0.00509976895610166,1.3909822866344608,0.7183431952662722,0.06097560975609757,0.2810835841630007,0.21281800391389433
frozenset({'Udyr'}),frozenset({'Jinx'}),0.020289855072463767,0.11159420289855072,0.007246376811594203,0.35714285714285715,3.2003710575139146,1.0,0.004982146607855493,1.3819645732689212,0.7017751479289941,0.058139534883720936,0.2763924493125146,0.21103896103896105
frozenset({'Xerath'}),frozenset({'Yasuo'}),0.028985507246376812,0.0782608695652174,0.007246376811594203,0.25,3.194444444444444,1.0,0.004977945809703843,1.228985507246377,0.7074626865671642,0.07246376811594203,0.18632075471698115,0.17129629629629628
frozenset({'Velkoz'}),frozenset({'Ashe'}),0.03333333333333333,0.06811594202898551,0.007246376811594203,0.21739130434782608,3.1914893617021276,1.0,0.004975845410628019,1.1907407407407407,0.7103448275862069,0.07692307692307693,0.16018662519440124,0.16188714153561518
frozenset({'Ashe'}),frozenset({'Velkoz'}),0.06811594202898551,0.03333333333333333,0.007246376811594203,0.10638297872340426,3.1914893617021276,1.0,0.004975845410628019,1.081746031746032,0.7368584758942457,0.07692307692307693,0.0755685986793837,0.16188714153561518
frozenset({'Kayn'}),frozenset({'Akali'}),0.05507246376811594,0.03333333333333333,0.005797101449275362,0.10526315789473685,3.1578947368421058,1.0,0.003961352657004831,1.080392156862745,0.723159509202454,0.07017543859649124,0.07441016333938294,0.13958810068649885
frozenset({'Akali'}),frozenset({'Kayn'}),0.03333333333333333,0.05507246376811594,0.005797101449275362,0.17391304347826086,3.1578947368421053,1.0,0.003961352657004831,1.143859649122807,0.706896551724138,0.07017543859649124,0.12576687116564417,0.13958810068649885
frozenset({'Milio'}),frozenset({'Darius'}),0.017391304347826087,0.10579710144927536,0.005797101449275362,0.3333333333333333,3.1506849315068495,1.0,0.003957151858853182,1.3413043478260869,0.6946902654867256,0.04938271604938272,0.2544570502431118,0.19406392694063926
frozenset({'Zac'}),frozenset({'Lux'}),0.013043478260869565,0.14202898550724638,0.005797101449275362,0.4444444444444445,3.129251700680272,1.0,0.0039445494643982355,1.5443478260869563,0.6894273127753303,0.038834951456310676,0.35247747747747754,0.24263038548752835
frozenset({'Lulu'}),frozenset({'Teemo'}),0.030434782608695653,0.06086956521739131,0.005797101449275362,0.19047619047619047,3.1292517006802716,1.0,0.0039445494643982355,1.1601023017902814,0.7017937219730942,0.06779661016949153,0.13800705467372132,0.14285714285714285
frozenset({'Lulu'}),frozenset({'Garen'}),0.030434782608695653,0.07681159420289856,0.007246376811594203,0.23809523809523808,3.099730458221024,1.0,0.004908632640201638,1.2116847826086958,0.6986547085201793,0.07246376811594203,0.1747028481722359,0.16621743036837375
frozenset({'Akshan'}),frozenset({'Ashe'}),0.02753623188405797,0.06811594202898551,0.005797101449275362,0.2105263157894737,3.0907054871220607,1.0,0.003921445074564167,1.1803864734299516,0.6956035767511177,0.06451612903225806,0.1528198412048785,0.14781634938409854
frozenset({'Morgana'}),frozenset({'Nocturne'}),0.04782608695652174,0.04927536231884058,0.007246376811594203,0.15151515151515152,3.0748663101604277,1.0,0.004889729048519219,1.1204968944099378,0.7086757990867579,0.08064516129032258,0.10753880266075388,0.14928698752228164
frozenset({'Nocturne'}),frozenset({'Morgana'}),0.04927536231884058,0.04782608695652174,0.007246376811594203,0.14705882352941177,3.0748663101604277,1.0,0.004889729048519219,1.1163418290854574,0.7097560975609756,0.08064516129032258,0.1042170292774644,0.14928698752228164
frozenset({'Vladimir'}),frozenset({'Jhin'}),0.02463768115942029,0.0782608695652174,0.005797101449275362,0.23529411764705882,3.006535947712418,1.0,0.003868935097668557,1.205351170568562,0.6842496285289748,0.05970149253731343,0.17036625971143174,0.15468409586056645
frozenset({'Ahri'}),frozenset({'Volibear'}),0.04057971014492753,0.04782608695652174,0.005797101449275362,0.14285714285714288,2.9870129870129873,1.0,0.0038563327032136107,1.1108695652173914,0.6933534743202416,0.07017543859649124,0.09980430528375735,0.13203463203463206
frozenset({'Volibear'}),frozenset({'Ahri'}),0.04782608695652174,0.04057971014492753,0.005797101449275362,0.12121212121212122,2.9870129870129873,1.0,0.0038563327032136107,1.0917541229385308,0.6986301369863014,0.07017543859649124,0.08404284537215052,0.13203463203463206
frozenset({'Gwen'}),frozenset({'Jinx'}),0.017391304347826087,0.11159420289855072,0.005797101449275362,0.3333333333333333,2.987012987012987,1.0,0.0038563327032136107,1.3326086956521739,0.6769911504424779,0.04705882352941177,0.2495921696574225,0.19264069264069264
frozenset({'Yasuo'}),frozenset({'Zyra'}),0.0782608695652174,0.043478260869565216,0.010144927536231883,0.12962962962962962,2.9814814814814814,1.0,0.006742281033396344,1.0989824236817762,0.7210242587601078,0.0909090909090909,0.09006734006734006,0.18148148148148147
frozenset({'Zyra'}),frozenset({'Yasuo'}),0.043478260869565216,0.0782608695652174,0.010144927536231883,0.2333333333333333,2.981481481481481,1.0,0.006742281033396344,1.2022684310018903,0.6948051948051948,0.0909090909090909,0.1682389937106918,0.18148148148148147
frozenset({'Diana'}),frozenset({'Pyke'}),0.05217391304347826,0.03768115942028986,0.005797101449275362,0.11111111111111112,2.948717948717949,1.0,0.003831127914303718,1.082608695652174,0.6972477064220184,0.06896551724137931,0.07630522088353413,0.13247863247863248
frozenset({'Pyke'}),frozenset({'Diana'}),0.03768115942028986,0.05217391304347826,0.005797101449275362,0.15384615384615383,2.9487179487179485,1.0,0.003831127914303718,1.1201581027667984,0.6867469879518073,0.06896551724137931,0.10726887791107972,0.13247863247863248
frozenset({'Talon'}),frozenset({'Lux'}),0.017391304347826087,0.14202898550724638,0.007246376811594203,0.4166666666666667,2.933673469387755,1.0,0.004776307498424701,1.4708074534161493,0.6707964601769912,0.047619047619047616,0.3201013513513514,0.233843537414966
frozenset({'Ambessa'}),frozenset({'MissFortune'}),0.01884057971014493,0.10579710144927536,0.005797101449275362,0.30769230769230765,2.908324552160168,1.0,0.0038038227263180006,1.2916264090177134,0.6687592319054654,0.04878048780487805,0.2257823214063084,0.18124341412012643
frozenset({'DrMundo'}),frozenset({'Jinx'}),0.036231884057971016,0.11159420289855072,0.011594202898550725,0.32,2.8675324675324676,1.0,0.007550934677588742,1.3064791133844844,0.6757518796992481,0.0851063829787234,0.23458401305057097,0.21194805194805194
frozenset({'Jinx'}),frozenset({'DrMundo'}),0.11159420289855072,0.036231884057971016,0.011594202898550725,0.1038961038961039,2.8675324675324676,1.0,0.007550934677588742,1.0755093467758874,0.7330750407830342,0.0851063829787234,0.0702079875012206,0.21194805194805194
frozenset({'Brand'}),frozenset({'Garen'}),0.03333333333333333,0.07681159420289856,0.007246376811594203,0.21739130434782608,2.830188679245283,1.0,0.004685990338164251,1.1796296296296296,0.6689655172413793,0.0704225352112676,0.152276295133438,0.15586546349466776
frozenset({'Kayle'}),frozenset({'Shaco'}),0.04927536231884058,0.042028985507246375,0.005797101449275362,0.11764705882352941,2.799188640973631,1.0,0.0037261079605124974,1.0857004830917873,0.6760670731707317,0.06779661016949153,0.07893565898371452,0.127789046653144
frozenset({'Shaco'}),frozenset({'Kayle'}),0.042028985507246375,0.04927536231884058,0.005797101449275362,0.13793103448275862,2.7991886409736306,1.0,0.0037261079605124974,1.102840579710145,0.6709531013615734,0.06779661016949153,0.09325063078216989,0.127789046653144
frozenset({'Amumu'}),frozenset({'Pyke'}),0.05507246376811594,0.03768115942028986,0.005797101449275362,0.10526315789473685,2.7935222672064777,1.0,0.0037219071623608487,1.075532821824382,0.6794478527607362,0.06666666666666667,0.07022828154724159,0.12955465587044535
frozenset({'Pyke'}),frozenset({'Amumu'}),0.03768115942028986,0.05507246376811594,0.005797101449275362,0.15384615384615383,2.7935222672064772,1.0,0.0037219071623608487,1.1167325428194994,0.6671686746987953,0.06666666666666667,0.10453043888626708,0.12955465587044535
